CODE_LIGNE,LIB_LIGNE,origin,destination
350000,Ligne de Malaunay-Le Houlme à Dieppe,Malaunay-Le Houlme,Dieppe
354000,Ligne de Montérolier-Buchy à Motteville,Montérolier-Buchy,Motteville
362000,Ligne de Bréauté-Beuzeville à Gravenchon-Port-Jérôme,Bréauté-Beuzeville,Gravenchon-Port-Jérôme
365000,Ligne de Rouen-Gauche à Petit-Couronne (voies des quais),Rouen-Gauche,Petit-Couronne (voies des quais)
366000,Ligne de Mantes-la-Jolie à Cherbourg,Mantes-la-Jolie,Cherbourg
372000,Ligne de Serquigny à Oissel,Serquigny,Oissel
374300,Raccordement de Serquigny,,
375000,Ligne d'Évreux-Embranchement à Quetteville,,
379000,Ligne de Mézidon à Trouville-Deauville,Mézidon,Trouville-Deauville
390000,Ligne de Lisieux à Trouville-Deauville,Lisieux,Trouville-Deauville
395000,Ligne de St-Cyr à Surdon,St-Cyr,Surdon
396000,Ligne de Plaisir-Grignon à Épône-Mézières,Plaisir-Grignon,Épône-Mézières
397000,Ligne de Dreux à St-Aubin-du-Vieil-Évreux,Dreux,St-Aubin-du-Vieil-Évreux
405000,Ligne d'Argentan à Granville,,
409000,Ligne de Chartres à Dreux,Chartres,Dreux
415000,Ligne de Lison à Lamballe,Lison,Lamballe
420000,Ligne de Paris-Montparnasse à Brest,Paris-Montparnasse,Brest
421300,Raccordement du Rody au port de Brest,,
422000,Ligne de La Loupe à Prey,La Loupe,Prey
428000,Ligne de Sillé-le-Guillaume à La Hutte-Coulombiers,Sillé-le-Guillaume,La Hutte-Coulombiers
429000,Ligne de Courtalain à Connerré (LGV),Courtalain,Connerré (LGV)
429310,Raccordement de Connerré-Sud,,
430000,Ligne du Mans à Mézidon,,
431000,Ligne de Paris-Montparnasse à Monts (LGV),Paris-Montparnasse,Monts (LGV)
431300,Raccordement de Massy (LGV),,
431315,Raccordement de St-Pierre-des-Corps (LGV),,
439000,Ligne de Vitré à Pontorson,Vitré,Pontorson
441000,Ligne de Rennes à St-Malo-St-Servan,Rennes,St-Malo-St-Servan
445000,Ligne de St-Brieuc au Légué,,
446000,Ligne de Plouaret à Lannion,Plouaret,Lannion
447000,Ligne de Morlaix à Roscoff,Morlaix,Roscoff
450000,Ligne du Mans à Angers-Maître-École,,
460000,Ligne de Sablé à Montoir-de-Bretagne,Sablé,Montoir-de-Bretagne
466000,Ligne de Châteaubriant à Rennes,Châteaubriant,Rennes
468000,Ligne de Rennes à Redon,Rennes,Redon
468306,Raccordement de Redon,,
470000,Ligne de Savenay à Landerneau,Savenay,Landerneau
472000,Ligne de Ploërmel à La Brohinière,Ploërmel,La Brohinière
473000,Ligne d'Auray à Quiberon,,
474000,Ligne d'Auray à Pontivy,,
475000,Ligne de St-Brieuc à Pontivy,St-Brieuc,Pontivy
476000,Ligne de Rosporden à Concarneau,Rosporden,Concarneau
477000,Ligne de Quimper à Pont-l'Abbé,Quimper,Pont-l'Abbé
485000,Ligne de Guingamp à Carhaix,Guingamp,Carhaix
486000,Ligne de Guingamp à Paimpol,Guingamp,Paimpol
499500,Voie du port de Lorient,,
500000,Ligne de Chartres à Bordeaux-St-Jean,Chartres,Bordeaux-St-Jean
508000,Ligne d'Aubigné-Racan à Sablé,,
510000,Ligne de La Flèche à Vivy,La Flèche,Vivy
515000,Ligne de Tours à St-Nazaire,Tours,St-Nazaire
516000,Ligne de St-Nazaire au Croisic,,
519000,Ligne de Nantes-Orléans à Châteaubriant,Nantes-Orléans,Châteaubriant
523000,Ligne de La Possonnière à Niort,La Possonnière,Niort
525000,Ligne des Sables-d'Olonne à Tours,,
527000,Ligne de Clisson à Cholet,Clisson,Cholet
530000,Ligne de Nantes-Orléans à Saintes,Nantes-Orléans,Saintes
534000,Ligne de Nantes-État à La Roche-sur-Yon par Ste-Pazanne,Nantes-État,La Roche-sur-Yon par Ste-Pazanne
534311,Raccordement de Commequiers,,
535000,Ligne de Commequiers à St-Gilles-Croix-de-Vie,Commequiers,St-Gilles-Croix-de-Vie
536000,Ligne de Ste-Pazanne à Pornic,Ste-Pazanne,Pornic
538000,Ligne de St-Benoît à La Rochelle-Ville,St-Benoît,La Rochelle-Ville
547000,Ligne de St-Mariens-St-Yzan à Blaye,St-Mariens-St-Yzan,Blaye
550000,Ligne de Brétigny à La Membrolle-sur-Choisille,Brétigny,La Membrolle-sur-Choisille
553000,Ligne d'Ouest-Ceinture à Chartres,,
555000,Ligne de Beaulieu-le-Coudray à Auneau-Embranchement,Beaulieu-le-Coudray,Auneau-Embranchement
556000,Ligne de Chartres à Orléans,Chartres,Orléans
557000,Ligne de Voves à Toury,Voves,Toury
558000,Ligne de Courtalain-St-Pellerin à Patay,Courtalain-St-Pellerin,Patay
559000,Ligne de Pont-de-Braye à Blois,Pont-de-Braye,Blois
561000,Ligne de Tours au Mans,,
562300,Raccordement de St-Pierre-des-Corps vers Nantes,,
563300,Raccordement de St-Pierre-des-Corps à Tours,,
564300,Raccordement de Tours à Monts (bifurcation de Bordeaux),,
569000,Ligne des Aubrais-Orléans à Orléans,,
569300,Raccordement d'Orléans vers Tours,,
569301,Raccordement d'Orléans vers Vierzon,,
